doc_type,doc_id,title,text,icd_code,icd_desc
schema,dbo.Patient,Table dbo.Patient,"CREATE TABLE dbo.Patient ( PatientId INT PRIMARY KEY, MRN VARCHAR(12) NOT NULL, DOB DATE NULL, Sex CHAR(1) NULL, PostalCode VARCHAR(10) NULL, CreatedAt DATETIME2 NOT NULL);",,
schema,dbo.Encounter,Table dbo.Encounter,"CREATE TABLE dbo.Encounter ( EncounterId BIGINT PRIMARY KEY, PatientId INT NOT NULL, EncounterDtm DATETIME2 NOT NULL, FacilityCode VARCHAR(10) NULL, ChiefComplaint NVARCHAR(4000) NULL, TriageAcuity VARCHAR(10) NULL, Disposition VARCHAR(50) NULL); -- FK: dbo.Encounter.PatientId -> dbo.Patient.PatientId",,
schema,dbo.Diagnosis,Table dbo.Diagnosis,"CREATE TABLE dbo.Diagnosis ( DxId BIGINT PRIMARY KEY, EncounterId BIGINT NOT NULL, DxCode VARCHAR(10) NOT NULL, DxSystem VARCHAR(20) NOT NULL, DxDescription NVARCHAR(255) NULL, DxRank INT NULL); -- FK: dbo.Diagnosis.EncounterId -> dbo.Encounter.EncounterId",,
icd,icd:R00.0,ICD R00.0,"R00.0 | Tachycardia, unspecified",R00.0,"Tachycardia, unspecified"
icd,icd:R00.1,ICD R00.1,"R00.1 | Bradycardia, unspecified",R00.1,"Bradycardia, unspecified"
icd,icd:R00.8,ICD R00.8,R00.8 | Palpitations,R00.8,Palpitations
icd,icd:R04.0,ICD R04.0,R04.0 | Epistaxis,R04.0,Epistaxis
icd,icd:R04.2,ICD R04.2,R04.2 | Hemoptysis,R04.2,Hemoptysis
icd,icd:R05.9,ICD R05.9,"R05.9 | Cough, unspecified",R05.9,"Cough, unspecified"
icd,icd:R06.00,ICD R06.00,"R06.00 | Dyspnea, unspecified",R06.00,"Dyspnea, unspecified"
icd,icd:R06.01,ICD R06.01,R06.01 | Orthopnea,R06.01,Orthopnea
icd,icd:R06.09,ICD R06.09,R06.09 | Other forms of dyspnea,R06.09,Other forms of dyspnea
icd,icd:R06.1,ICD R06.1,R06.1 | Stridor,R06.1,Stridor
icd,icd:R06.2,ICD R06.2,R06.2 | Wheezing,R06.2,Wheezing
icd,icd:R06.4,ICD R06.4,R06.4 | Hyperventilation,R06.4,Hyperventilation
icd,icd:R07.0,ICD R07.0,R07.0 | Pain in throat,R07.0,Pain in throat
icd,icd:R07.1,ICD R07.1,R07.1 | Chest pain on breathing,R07.1,Chest pain on breathing
icd,icd:R07.2,ICD R07.2,R07.2 | Precordial pain,R07.2,Precordial pain
icd,icd:R07.9,ICD R07.9,"R07.9 | Chest pain, unspecified",R07.9,"Chest pain, unspecified"
icd,icd:R09.02,ICD R09.02,R09.02 | Hypoxemia,R09.02,Hypoxemia
icd,icd:R09.1,ICD R09.1,R09.1 | Pleurisy,R09.1,Pleurisy
icd,icd:R10.0,ICD R10.0,R10.0 | Acute abdomen,R10.0,Acute abdomen
icd,icd:R10.10,ICD R10.10,"R10.10 | Upper abdominal pain, unspecified",R10.10,"Upper abdominal pain, unspecified"
icd,icd:R10.11,ICD R10.11,R10.11 | Right upper quadrant pain,R10.11,Right upper quadrant pain
icd,icd:R10.12,ICD R10.12,R10.12 | Left upper quadrant pain,R10.12,Left upper quadrant pain
icd,icd:R10.13,ICD R10.13,R10.13 | Epigastric pain,R10.13,Epigastric pain
icd,icd:R10.2,ICD R10.2,R10.2 | Pelvic and perineal pain,R10.2,Pelvic and perineal pain
icd,icd:R10.30,ICD R10.30,"R10.30 | Lower abdominal pain, unspecified",R10.30,"Lower abdominal pain, unspecified"
icd,icd:R10.31,ICD R10.31,R10.31 | Right lower quadrant pain,R10.31,Right lower quadrant pain
icd,icd:R10.32,ICD R10.32,R10.32 | Left lower quadrant pain,R10.32,Left lower quadrant pain
icd,icd:R10.33,ICD R10.33,R10.33 | Periumbilical pain,R10.33,Periumbilical pain
icd,icd:R10.9,ICD R10.9,R10.9 | Unspecified abdominal pain,R10.9,Unspecified abdominal pain
icd,icd:R11.0,ICD R11.0,R11.0 | Nausea,R11.0,Nausea
icd,icd:R11.10,ICD R11.10,"R11.10 | Vomiting, unspecified",R11.10,"Vomiting, unspecified"
icd,icd:R11.12,ICD R11.12,R11.12 | Projectile vomiting,R11.12,Projectile vomiting
icd,icd:R11.2,ICD R11.2,"R11.2 | Nausea with vomiting, unspecified",R11.2,"Nausea with vomiting, unspecified"
icd,icd:R12,ICD R12,R12 | Heartburn,R12,Heartburn
icd,icd:R13.10,ICD R13.10,"R13.10 | Dysphagia, unspecified",R13.10,"Dysphagia, unspecified"
icd,icd:R14.0,ICD R14.0,R14.0 | Abdominal distension,R14.0,Abdominal distension
icd,icd:R14.1,ICD R14.1,R14.1 | Gas pain,R14.1,Gas pain
icd,icd:R17,ICD R17,R17 | Unspecified jaundice,R17,Unspecified jaundice
icd,icd:R18.8,ICD R18.8,R18.8 | Ascites,R18.8,Ascites
icd,icd:R19.7,ICD R19.7,"R19.7 | Diarrhea, unspecified",R19.7,"Diarrhea, unspecified"
icd,icd:R20.2,ICD R20.2,R20.2 | Paraesthesia of skin,R20.2,Paraesthesia of skin
icd,icd:R21,ICD R21,R21 | Rash and other nonspecific skin eruption,R21,Rash and other nonspecific skin eruption
icd,icd:R22.0,ICD R22.0,"R22.0 | Localized swelling, mass, lump, head",R22.0,"Localized swelling, mass, lump, head"
icd,icd:R22.1,ICD R22.1,"R22.1 | Localized swelling, mass, lump, neck",R22.1,"Localized swelling, mass, lump, neck"
icd,icd:R22.2,ICD R22.2,"R22.2 | Localized swelling, mass, lump, trunk",R22.2,"Localized swelling, mass, lump, trunk"
icd,icd:R22.31,ICD R22.31,"R22.31 | Localized swelling, mass, lump, right upper limb",R22.31,"Localized swelling, mass, lump, right upper limb"
icd,icd:R22.41,ICD R22.41,"R22.41 | Localized swelling, mass, lump, right lower limb",R22.41,"Localized swelling, mass, lump, right lower limb"
icd,icd:R23.0,ICD R23.0,R23.0 | Cyanosis,R23.0,Cyanosis
icd,icd:R23.1,ICD R23.1,R23.1 | Pallor,R23.1,Pallor
icd,icd:R23.2,ICD R23.2,R23.2 | Flushing,R23.2,Flushing
icd,icd:R23.3,ICD R23.3,R23.3 | Spontaneous ecchymoses,R23.3,Spontaneous ecchymoses
icd,icd:R25.1,ICD R25.1,"R25.1 | Tremor, unspecified",R25.1,"Tremor, unspecified"
icd,icd:R25.2,ICD R25.2,R25.2 | Cramp and spasm,R25.2,Cramp and spasm
icd,icd:R26.0,ICD R26.0,R26.0 | Ataxic gait,R26.0,Ataxic gait
icd,icd:R26.2,ICD R26.2,"R26.2 | Difficulty in walking, not elsewhere classified",R26.2,"Difficulty in walking, not elsewhere classified"
icd,icd:R26.81,ICD R26.81,R26.81 | Unsteadiness on feet,R26.81,Unsteadiness on feet
icd,icd:R27.0,ICD R27.0,"R27.0 | Ataxia, unspecified",R27.0,"Ataxia, unspecified"
icd,icd:R29.1,ICD R29.1,R29.1 | Meningismus,R29.1,Meningismus
icd,icd:R29.6,ICD R29.6,R29.6 | Repeated falls,R29.6,Repeated falls
icd,icd:R30.0,ICD R30.0,R30.0 | Dysuria,R30.0,Dysuria
icd,icd:R30.9,ICD R30.9,"R30.9 | Painful micturition, unspecified",R30.9,"Painful micturition, unspecified"
icd,icd:R31.0,ICD R31.0,R31.0 | Gross hematuria,R31.0,Gross hematuria
icd,icd:R31.9,ICD R31.9,"R31.9 | Hematuria, unspecified",R31.9,"Hematuria, unspecified"
icd,icd:R32,ICD R32,R32 | Unspecified urinary incontinence,R32,Unspecified urinary incontinence
icd,icd:R33.9,ICD R33.9,"R33.9 | Retention of urine, unspecified",R33.9,"Retention of urine, unspecified"
icd,icd:R35.0,ICD R35.0,R35.0 | Frequency of micturition,R35.0,Frequency of micturition
icd,icd:R35.1,ICD R35.1,R35.1 | Nocturia,R35.1,Nocturia
icd,icd:R39.15,ICD R39.15,R39.15 | Urgency of urination,R39.15,Urgency of urination
icd,icd:R40.0,ICD R40.0,R40.0 | Somnolence,R40.0,Somnolence
icd,icd:R40.1,ICD R40.1,R40.1 | Stupor,R40.1,Stupor
icd,icd:R40.20,ICD R40.20,R40.20 | Unspecified coma,R40.20,Unspecified coma
icd,icd:R41.0,ICD R41.0,"R41.0 | Disorientation, unspecified",R41.0,"Disorientation, unspecified"
icd,icd:R41.3,ICD R41.3,R41.3 | Other amnesia,R41.3,Other amnesia
icd,icd:R41.82,ICD R41.82,"R41.82 | Altered mental status, unspecified",R41.82,"Altered mental status, unspecified"
icd,icd:R42,ICD R42,R42 | Dizziness and giddiness,R42,Dizziness and giddiness
icd,icd:R44.0,ICD R44.0,R44.0 | Auditory hallucinations,R44.0,Auditory hallucinations
icd,icd:R44.1,ICD R44.1,R44.1 | Visual hallucinations,R44.1,Visual hallucinations
icd,icd:R44.3,ICD R44.3,R44.3 | Other hallucinations,R44.3,Other hallucinations
icd,icd:R45.1,ICD R45.1,R45.1 | Restlessness and agitation,R45.1,Restlessness and agitation
icd,icd:R45.5,ICD R45.5,R45.5 | Hostility,R45.5,Hostility
icd,icd:R45.851,ICD R45.851,R45.851 | Suicidal ideations,R45.851,Suicidal ideations
icd,icd:R45.850,ICD R45.850,R45.850 | Homicidal ideations,R45.850,Homicidal ideations
icd,icd:R47.01,ICD R47.01,R47.01 | Aphasia,R47.01,Aphasia
icd,icd:R47.1,ICD R47.1,R47.1 | Dysarthria,R47.1,Dysarthria
icd,icd:R49.0,ICD R49.0,R49.0 | Dysphonia,R49.0,Dysphonia
icd,icd:R50.9,ICD R50.9,"R50.9 | Fever, unspecified",R50.9,"Fever, unspecified"
icd,icd:R50.81,ICD R50.81,R50.81 | Fever presenting with conditions classified elsewhere,R50.81,Fever presenting with conditions classified elsewhere
icd,icd:R51.9,ICD R51.9,"R51.9 | Headache, unspecified",R51.9,"Headache, unspecified"
icd,icd:R52,ICD R52,"R52 | Pain, unspecified",R52,"Pain, unspecified"
icd,icd:R53.1,ICD R53.1,R53.1 | Weakness,R53.1,Weakness
icd,icd:R53.83,ICD R53.83,R53.83 | Other fatigue,R53.83,Other fatigue
icd,icd:R55,ICD R55,R55 | Syncope and collapse,R55,Syncope and collapse
icd,icd:R56.00,ICD R56.00,R56.00 | Simple febrile convulsions,R56.00,Simple febrile convulsions
icd,icd:R56.9,ICD R56.9,R56.9 | Unspecified convulsions,R56.9,Unspecified convulsions
icd,icd:R57.0,ICD R57.0,R57.0 | Cardiogenic shock,R57.0,Cardiogenic shock
icd,icd:R57.1,ICD R57.1,R57.1 | Hypovolemic shock,R57.1,Hypovolemic shock
icd,icd:R57.9,ICD R57.9,"R57.9 | Shock, unspecified",R57.9,"Shock, unspecified"
icd,icd:R58,ICD R58,"R58 | Hemorrhage, not elsewhere classified",R58,"Hemorrhage, not elsewhere classified"
icd,icd:R59.0,ICD R59.0,R59.0 | Localized enlarged lymph nodes,R59.0,Localized enlarged lymph nodes
icd,icd:R60.0,ICD R60.0,R60.0 | Localized edema,R60.0,Localized edema
icd,icd:R60.1,ICD R60.1,R60.1 | Generalized edema,R60.1,Generalized edema
icd,icd:R60.9,ICD R60.9,"R60.9 | Edema, unspecified",R60.9,"Edema, unspecified"
icd,icd:R63.0,ICD R63.0,R63.0 | Anorexia,R63.0,Anorexia
icd,icd:R63.4,ICD R63.4,R63.4 | Abnormal weight loss,R63.4,Abnormal weight loss
icd,icd:R63.5,ICD R63.5,R63.5 | Abnormal weight gain,R63.5,Abnormal weight gain
icd,icd:R65.10,ICD R65.10,R65.10 | Systemic inflammatory response syndrome without organ dysfunction,R65.10,Systemic inflammatory response syndrome without organ dysfunction
icd,icd:R65.20,ICD R65.20,R65.20 | Severe sepsis without septic shock,R65.20,Severe sepsis without septic shock
icd,icd:R65.21,ICD R65.21,R65.21 | Severe sepsis with septic shock,R65.21,Severe sepsis with septic shock
icd,icd:R68.83,ICD R68.83,R68.83 | Chills without fever,R68.83,Chills without fever
icd,icd:R73.09,ICD R73.09,R73.09 | Other abnormal glucose,R73.09,Other abnormal glucose
icd,icd:R79.1,ICD R79.1,R79.1 | Abnormal coagulation profile,R79.1,Abnormal coagulation profile
icd,icd:I10,ICD I10,I10 | Essential (primary) hypertension,I10,Essential (primary) hypertension
icd,icd:I11.0,ICD I11.0,I11.0 | Hypertensive heart disease with heart failure,I11.0,Hypertensive heart disease with heart failure
icd,icd:I11.9,ICD I11.9,I11.9 | Hypertensive heart disease without heart failure,I11.9,Hypertensive heart disease without heart failure
icd,icd:I20.0,ICD I20.0,I20.0 | Unstable angina,I20.0,Unstable angina
icd,icd:I20.1,ICD I20.1,I20.1 | Angina pectoris with documented spasm,I20.1,Angina pectoris with documented spasm
icd,icd:I20.9,ICD I20.9,"I20.9 | Angina pectoris, unspecified",I20.9,"Angina pectoris, unspecified"
icd,icd:I21.4,ICD I21.4,I21.4 | Non-ST elevation myocardial infarction,I21.4,Non-ST elevation myocardial infarction
icd,icd:I21.9,ICD I21.9,"I21.9 | Acute myocardial infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified"
icd,icd:I21.01,ICD I21.01,I21.01 | ST elevation MI of left main coronary artery,I21.01,ST elevation MI of left main coronary artery
icd,icd:I21.11,ICD I21.11,I21.11 | ST elevation MI of right coronary artery,I21.11,ST elevation MI of right coronary artery
icd,icd:I26.09,ICD I26.09,I26.09 | Pulmonary embolism without acute cor pulmonale,I26.09,Pulmonary embolism without acute cor pulmonale
icd,icd:I26.99,ICD I26.99,I26.99 | Other pulmonary embolism without acute cor pulmonale,I26.99,Other pulmonary embolism without acute cor pulmonale
icd,icd:I30.9,ICD I30.9,"I30.9 | Acute pericarditis, unspecified",I30.9,"Acute pericarditis, unspecified"
icd,icd:I31.3,ICD I31.3,I31.3 | Pericardial effusion (noninflammatory),I31.3,Pericardial effusion (noninflammatory)
icd,icd:I33.0,ICD I33.0,I33.0 | Acute and subacute infective endocarditis,I33.0,Acute and subacute infective endocarditis
icd,icd:I40.9,ICD I40.9,"I40.9 | Acute myocarditis, unspecified",I40.9,"Acute myocarditis, unspecified"
icd,icd:I42.0,ICD I42.0,I42.0 | Dilated cardiomyopathy,I42.0,Dilated cardiomyopathy
icd,icd:I44.2,ICD I44.2,"I44.2 | Atrioventricular block, complete",I44.2,"Atrioventricular block, complete"
icd,icd:I46.0,ICD I46.0,I46.0 | Cardiac arrest with successful resuscitation,I46.0,Cardiac arrest with successful resuscitation
icd,icd:I46.9,ICD I46.9,"I46.9 | Cardiac arrest, cause unspecified",I46.9,"Cardiac arrest, cause unspecified"
icd,icd:I47.1,ICD I47.1,I47.1 | Supraventricular tachycardia,I47.1,Supraventricular tachycardia
icd,icd:I47.2,ICD I47.2,I47.2 | Ventricular tachycardia,I47.2,Ventricular tachycardia
